Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
BaPbO3,Ba,Pb,2,4,1.61,0.78,orthorhombic,3,6.088,6.12,8.633,90,90,90,0.618,-1.947,-0.066,-,16.081,1.793
BaPdO3,Ba,Pd,2,4,1.61,0.62,orthorhombic,3,5.733,5.793,8.219,90,90,90,0,-1.536,-0.005,-,13.648,0.534
BaPrO3,Ba,Pr,2,4,1.61,0.85,orthorhombic,3,6.323,6.446,9.008,90,90,90,0,-2.815,0.149,0.2,18.356,0.014
BaReO3,Ba,Re,2,4,1.61,0.63,cubic,0,4.038,4.038,4.038,90,90,90,0,-2.199,0.134,0.005,13.167,4.794
BaRhO3,Ba,Rh,2,4,1.61,0.6,orthorhombic,3,5.705,5.751,8.095,90,90,90,0,-1.756,0.076,0.188,13.279,1.905
BaRuO3,Ba,Ru,2,4,1.61,0.62,cubic,0,4.036,4.036,4.036,90,90,90,0,-1.953,0.071,0.389,13.15,3.303
BaSnO3,Ba,Sn,2,4,1.61,0.69,cubic,0,4.154,4.154,4.154,90,90,90,0.883,-2.443,-0.052,-,14.338,4.152
BaTaO3,Ba,Ta,2,4,1.61,0.68,cubic,0,4.104,4.104,4.104,90,90,90,0,-3.108,0.042,0,13.824,6.487
BaTbO3,Ba,Tb,2,4,1.61,0.76,orthorhombic,3,6.189,6.243,8.773,90,90,90,0,-2.831,0.13,0.199,16.947,0.154
BaTeO3,Ba,Te,2,4,1.61,0.97,tetragonal,1,4.249,4.249,4.483,90,90,90,0.743,-2.056,0.129,-,16.187,3.391
BaThO3,Ba,Th,2,4,1.61,0.94,orthorhombic,3,6.369,6.443,9.045,90,90,90,4.363,-3.62,-0.004,0,18.557,6.151
BaTiO3,Ba,Ti,2,4,1.61,0.61,tetragonal,1,3.987,3.987,4.099,90,90,90,1.68,-3.288,-0.03,0,13.029,5.357
BaUO3,Ba,U,2,4,1.61,0.89,orthorhombic,3,6.256,6.32,8.893,90,90,90,2.645,-3.46,-0.094,0.4,17.58,5.448
BaVO3,Ba,V,2,4,1.61,0.58,orthorhombic,3,5.583,5.584,8.142,90,90,90,0,-2.801,0.065,0.2,12.693,3.522
BaWO3,Ba,W,2,4,1.61,0.66,cubic,0,4.059,4.059,4.059,90,90,90,0,-2.57,0.157,0,13.372,5.861
BaZrO3,Ba,Zr,2,4,1.61,0.72,cubic,0,4.225,4.225,4.225,90,90,90,3.108,-3.477,-0.096,0,15.082,6.582
BeCeO3,Be,Ce,2,4,0.45,0.87,rhombohedral,2,6.248,6.248,6.248,52,52,52,0,-2.693,0.254,0.2,14.01,-6.265
BeCoO3,Be,Co,2,4,0.45,0.53,cubic,0,3.594,3.594,3.594,90,90,90,0,-0.402,1.411,0.465,9.284,-2.203
BeCrO3,Be,Cr,2,4,0.45,0.55,cubic,0,3.689,3.689,3.689,90,90,90,0,-1.06,1.393,0.399,10.041,-1.02
BeFeO3,Be,Fe,2,4,0.45,0.59,cubic,0,3.668,3.668,3.668,90,90,90,0,-0.705,1.307,0.8,9.87,-1.666
BeGeO3,Be,Ge,2,4,0.45,0.53,cubic,0,3.641,3.641,3.641,90,90,90,0,-1.002,1.318,-,9.656,1.025
BeHfO3,Be,Hf,2,4,0.45,0.71,cubic,0,4.024,4.024,4.024,90,90,90,0,-1.942,1.548,0,13.036,-0.712
BeIrO3,Be,Ir,2,4,0.45,0.63,cubic,0,3.85,3.85,3.85,90,90,90,0,-0.197,1.628,0.06,11.415,-0.806
BeMnO3,Be,Mn,2,4,0.45,0.53,cubic,0,3.657,3.657,3.657,90,90,90,0,-0.913,1.324,0.618,9.779,-1.718
BeMoO3,Be,Mo,2,4,0.45,0.65,cubic,0,3.873,3.873,3.873,90,90,90,0,-1.171,1.308,-0.006,11.622,2.844
BeNbO3,Be,Nb,2,4,0.45,0.68,cubic,0,3.965,3.965,3.965,90,90,90,0,-1.581,1.237,-0.121,12.464,0.656
